2026-08-05 16:50:08 | WARNING  | DEVICE | Dispositivo não encontrado. Criando novo registro (uuid=3a79cecb-5a10-4920-9fa7-8a050c92399a)
2026-08-05 16:50:08 | INFO     | DEVICE | Aguardando confirmação de pareamento pelo usuário (uuid=3a79cecb-5a10-4920-9fa7-8a050c92399a)
2026-08-05 16:50:09 | DEBUG    | DEVICE | Pareamento ainda não confirmado, aguardando... (tentativa 1/4)
2026-08-05 16:50:10 | DEBUG    | DEVICE | Pareamento ainda não confirmado, aguardando... (tentativa 2/4)
2026-08-05 16:50:11 | DEBUG    | DEVICE | Pareamento ainda não confirmado, aguardando... (tentativa 3/4)
2026-08-05 16:50:12 | INFO     | DEVICE | Pareamento confirmado pelo usuário (uuid=3a79cecb-5a10-4920-9fa7-8a050c92399a)
2026-08-05 16:50:12 | DEBUG    | API_CLIENT | Enviando dados do dispositivo para a API
2026-08-05 16:50:12 | DEBUG    | API_CLIENT | Dispositivo registrado com sucesso na API
2026-08-05 16:50:12 | INFO     | DEVICE | UUID persistido localmente
2026-08-05 16:53:55 | INFO     | DEVICE | UUID local já existente (uuid=3a79cecb-5a10-4920-9fa7-8a050c92399a) — este script simula apenas a PRIMEIRA execução. Apague simulated_data/device_id para repetir.
2026-08-05 16:54:48 | WARNING  | DEVICE | Dispositivo não encontrado. Criando novo registro (uuid=05369b6f-234c-4d45-b275-3c3176ed9930)
2026-08-05 16:54:48 | INFO     | DEVICE | Aguardando confirmação de pareamento pelo usuário (uuid=05369b6f-234c-4d45-b275-3c3176ed9930)
2026-08-05 16:54:49 | DEBUG    | DEVICE | Pareamento ainda não confirmado, aguardando... (tentativa 1/4)
2026-08-05 16:54:50 | DEBUG    | DEVICE | Pareamento ainda não confirmado, aguardando... (tentativa 2/4)
2026-08-05 16:54:51 | DEBUG    | DEVICE | Pareamento ainda não confirmado, aguardando... (tentativa 3/4)
2026-08-05 16:54:52 | INFO     | DEVICE | Pareamento confirmado pelo usuário (uuid=05369b6f-234c-4d45-b275-3c3176ed9930)
2026-08-05 16:54:52 | DEBUG    | API_CLIENT | Enviando dados do dispositivo para a API
2026-08-05 16:54:53 | DEBUG    | API_CLIENT | Dispositivo registrado com sucesso na API
2026-08-05 16:54:53 | INFO     | DEVICE | UUID persistido localmente
2026-08-05 16:55:42 | WARNING  | DEVICE | Dispositivo não encontrado. Criando novo registro (uuid=c0e845fd-d870-461b-af46-d874dcb7f726)
2026-08-05 16:55:42 | INFO     | DEVICE | Aguardando confirmação de pareamento pelo usuário (uuid=c0e845fd-d870-461b-af46-d874dcb7f726)
2026-08-05 16:55:43 | DEBUG    | DEVICE | Pareamento ainda não confirmado, aguardando... (tentativa 1/4)
2026-08-05 16:55:44 | DEBUG    | DEVICE | Pareamento ainda não confirmado, aguardando... (tentativa 2/4)
2026-08-05 16:55:45 | DEBUG    | DEVICE | Pareamento ainda não confirmado, aguardando... (tentativa 3/4)
2026-08-05 16:55:46 | INFO     | DEVICE | Pareamento confirmado pelo usuário (uuid=c0e845fd-d870-461b-af46-d874dcb7f726)
2026-08-05 16:55:46 | DEBUG    | API_CLIENT | Enviando dados do dispositivo para a API
2026-08-05 16:55:46 | DEBUG    | API_CLIENT | Dispositivo registrado com sucesso na API
2026-08-05 16:55:46 | INFO     | DEVICE | UUID persistido localmente
2026-08-05 16:56:29 | WARNING  | DEVICE | Dispositivo não encontrado. Criando novo registro...
2026-08-05 16:56:29 | INFO     | DEVICE | Aguardando confirmação de pareamento pelo usuário (uuid=68228971-2a11-4257-abd5-6831b4b7a049)
2026-08-05 16:56:30 | DEBUG    | DEVICE | Pareamento ainda não confirmado, aguardando... (tentativa 1/4)
2026-08-05 16:56:31 | DEBUG    | DEVICE | Pareamento ainda não confirmado, aguardando... (tentativa 2/4)
2026-08-05 16:56:32 | DEBUG    | DEVICE | Pareamento ainda não confirmado, aguardando... (tentativa 3/4)
2026-08-05 16:56:33 | INFO     | DEVICE | Pareamento confirmado pelo usuário (uuid=68228971-2a11-4257-abd5-6831b4b7a049)
2026-08-05 16:56:33 | DEBUG    | API_CLIENT | Enviando dados do dispositivo para a API
